Station Name,TORONTO INTL A
Province,ONTARIO
Latitude,43.68
Longitude,-79.63
Elevation,173.4
Climate Identifier,6158731
WMO Identifier,71624
TC Identifier,YYZ
Monthly Data for July 2013
day,max.temp,min.temp,rain,wind
1,23.8,16.3,0,39
2,22.9,17,0,33
3,26.5,17.8,1.2,
4,28.3,20.5,3.2,33
5,25,21.4,28.6,
6,29,19.1,0.4,
7,27.8,20.6,26.6,41
8,29.1,19.6,126,59
9,25.4,19.9,0.6,
10,30.5,19.5,0.6,
11,25.4,15.7,0,39
12,25.2,15.2,0,32
13,27.4,16,0,32
14,29.7,19.2,0,
15,31.2,22,0,
16,32.7,22.1,0,
17,34.8,24.1,0,43
18,33.7,23.7,0,46
19,34.9,25.8,,
20,28.6,19.2,1.6,44
21,23,15.6,0,
22,23.9,16.4,0,
23,28.8,15.9,0,52
24,21.5,13.1,0,52
25,23.3,12.6,0,
26,24,13.5,0,
27,22.5,18.4,10.2,
28,22.8,13.5,0,50
29,22.2,12.6,0.2,41
30,25.1,13,0,
31,24.7,14.6,13.4,